,Year,Election type,Country
0,1992,Referendums,France
1,1993,Parlament,France
2,1994,Euro Parlament,France
3,1995,Presidential,France
4,1997,Parlament,France
5,1999,Euro Parlament,France
6,2002,Parlament,France
7,2002,Presidential,France
8,2004,Euro Parlament,France
9,2005,Referendums,France
10,2007,Parlament,France
11,2007,Presidential,France
12,2009,Euro Parlament,France
13,2012,Presidential,France
14,1991,Parlament,Finland
15,1994,Presidential,Finland
16,1994,Referendums,Finland
17,1995,Parlament,Finland
18,1996,Euro Parlament,Finland
19,1999,Parlament,Finland
20,1999,Euro Parlament,Finland
21,2000,Presidential,Finland
22,2003,Parlament,Finland
23,2004,Euro Parlament,Finland
24,2006,Presidential,Finland
25,2007,Parlament,Finland
26,2009,Euro Parlament,Finland
27,2011,Parlament,Finland
28,2012,Presidential,Finland
29,1992,Parlament,Lithuania
30,1996,Parlament,Lithuania
31,1997,Presidential,Lithuania
32,2000,Parlament,Lithuania
33,2002,Presidential,Lithuania
34,2003,Referendums,Lithuania
35,2004,Parlament,Lithuania
36,2004,Presidential,Lithuania
37,2004,Euro Parlament,Lithuania
38,2008,Parlament,Lithuania
39,2009,Presidential,Lithuania
40,2009,Euro Parlament,Lithuania
41,2012,Parlament,Lithuania
42,1990,Parlament,Austria
43,1992,Presidential,Austria
44,1994,Parlament,Austria
45,1994,Referendums,Austria
46,1995,Parlament,Austria
47,1996,Euro Parlament,Austria
48,1998,Presidential,Austria
49,1999,Parlament,Austria
50,1999,Euro Parlament,Austria
51,2002,Parlament,Austria
52,2004,Presidential,Austria
53,2004,Euro Parlament,Austria
54,2006,Parlament,Austria
55,2008,Parlament,Austria
56,2009,Euro Parlament,Austria
57,2010,Presidential,Austria
